loyalty,satisfaction,Involvement_1,Involvement_2,Involvement_3,Involvement_4,Emo_1,Emo_2,Emo_3,Calc_1,Calc_2,Calc_3,Calc_4,Calc_5,trust_1,trust_2,trust_3,image_1,image_2,image_3,image_4,image_5,educ,gender,age,Involvement,Emotional,Calculative,Trust,Image
1,3,5,5,5,5,3,3,2,1,1,1,5,1,2,3,3,3,3,3,3,4,4,2,2,20,8,9,8,16
1,1,1,2,3,1,1,1,1,3,5,1,3,5,3,1,1,3,1,1,3,1,4,1,6,7,3,17,5,9
1,1,4,5,5,3,1,1,1,3,3,1,4,1,1,2,1,3,1,2,4,3,4,1,1,17,3,12,4,13
1,2,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,1,6,11,3,5,3,7
1,2,3,5,2,2,1,2,1,3,3,1,3,1,1,1,1,1,1,5,1,2,6,2,4,12,4,11,3,10
1,3,5,1,5,5,2,3,3,1,3,1,2,1,1,2,3,2,3,3,4,4,4,2,4,16,8,8,6,16
1,3,2,1,2,2,2,2,3,3,1,2,1,1,2,2,4,2,2,3,3,3,2,2,4,7,7,8,8,13
2,4,5,5,5,5,3,3,1,2,3,1,5,2,4,3,4,3,4,3,3,3,3,1,6,20,7,13,11,16
3,3,2,5,5,5,3,2,3,3,3,1,5,3,3,2,3,3,2,3,2,4,7,2,1,17,8,15,8,14
3,3,4,1,2,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,4,3,5,2,1,10,7,13,9,16
3,3,3,5,4,2,3,3,3,3,3,2,4,4,3,3,4,3,3,3,3,4,7,2,3,14,9,16,10,16
3,3,3,5,4,2,3,3,3,2,3,2,4,3,2,4,4,4,3,3,3,4,6,2,4,14,9,14,10,17
3,3,2,4,4,2,1,3,3,3,1,2,4,4,3,3,3,3,3,1,2,3,6,2,2,12,7,14,9,12
3,3,1,1,1,1,1,3,3,3,3,2,1,4,3,3,3,3,3,4,3,3,6,1,4,4,7,13,9,16
3,3,4,5,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,7,1,5,15,9,9,7,15
3,3,1,5,4,1,3,3,3,3,3,2,4,3,2,4,3,4,4,5,5,4,6,2,3,11,9,15,9,22
3,3,1,1,1,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,1,4,4,9,13,9,15
3,3,3,4,2,4,1,1,3,3,5,1,4,5,1,1,1,2,1,3,2,1,4,2,3,13,5,18,3,9
3,3,3,3,4,3,4,4,3,2,1,4,3,4,2,2,3,1,2,4,4,3,6,2,4,13,11,14,7,14
3,3,2,4,2,2,3,3,3,1,4,2,2,1,3,3,5,3,3,3,4,5,6,2,4,10,9,10,11,18
3,3,5,5,5,5,3,3,3,3,4,2,5,1,3,5,4,3,2,5,3,4,6,1,4,20,9,15,12,17
3,2,2,3,3,2,1,2,2,3,3,2,1,5,1,2,2,1,1,1,2,2,2,2,5,10,5,14,5,7
3,3,1,5,1,1,1,1,3,3,3,1,5,3,1,1,3,1,1,3,3,4,2,1,6,8,5,15,5,12
3,3,3,5,5,1,4,3,3,3,3,1,1,2,3,3,4,3,3,4,3,4,4,2,3,14,10,10,10,17
4,4,4,4,3,3,3,3,3,3,2,2,3,4,1,3,4,3,4,3,5,4,5,1,4,14,9,14,8,19
4,4,2,3,4,3,3,4,3,3,5,1,2,3,1,4,5,3,3,4,4,5,6,1,5,12,10,14,10,19
4,4,4,5,5,4,4,3,3,2,3,2,4,2,3,3,3,3,3,5,3,3,4,1,5,18,10,13,9,17
4,5,3,5,5,5,5,5,3,3,5,3,5,5,3,5,5,3,3,5,5,5,4,1,5,18,13,21,13,21
4,4,2,4,4,2,3,4,3,2,3,1,3,3,1,4,5,3,3,4,4,4,7,1,2,12,10,12,10,18
4,4,1,3,3,1,3,3,3,3,3,2,3,1,3,3,4,3,3,4,3,4,4,2,2,8,9,12,10,17
4,4,2,5,5,2,3,3,3,4,2,3,1,2,2,4,5,3,1,4,4,5,7,2,2,14,9,12,11,17
4,4,1,1,1,2,4,3,3,3,4,3,4,4,3,3,4,3,4,4,4,4,3,1,6,5,10,18,10,19
4,4,4,3,3,2,3,3,2,2,3,3,4,4,2,4,3,3,3,5,5,5,4,1,6,12,8,16,9,21
4,4,2,2,2,2,1,1,1,4,1,1,5,2,1,3,2,3,1,2,2,2,5,1,5,8,3,13,6,10
4,4,3,3,1,2,2,4,3,1,3,1,1,2,3,4,4,2,3,3,4,3,6,1,7,9,9,8,11,15
4,4,1,5,5,5,3,5,3,5,3,2,5,2,3,4,4,3,2,4,5,4,5,2,1,16,11,17,11,18
4,4,2,3,2,1,3,4,3,3,3,2,3,2,3,4,4,3,3,4,4,4,3,2,3,8,10,13,11,18
4,4,3,2,2,1,3,4,3,3,2,2,1,3,2,3,4,4,3,4,3,4,6,2,2,8,10,11,9,18
4,4,2,5,3,5,3,4,3,3,4,1,5,4,4,4,4,5,3,4,4,3,4,1,6,15,10,17,12,19
4,4,1,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,10,10,15,9,15
4,5,2,5,5,5,2,4,3,2,2,3,1,3,1,1,2,1,1,3,2,1,2,2,4,17,9,11,4,8
4,4,2,3,2,3,2,3,3,3,2,3,3,4,2,4,4,3,3,4,4,4,5,1,1,10,8,15,10,18
4,4,5,5,5,5,3,3,1,4,3,1,4,2,2,4,4,3,3,4,4,4,7,2,2,20,7,14,10,18
4,4,3,4,5,3,3,3,3,3,2,1,4,3,3,3,4,3,3,4,3,4,4,1,4,15,9,13,10,17
4,4,2,5,1,1,3,3,2,1,1,1,3,1,2,4,3,2,2,4,3,3,3,2,5,9,8,7,9,14
4,4,4,2,3,3,4,4,5,3,3,3,3,3,3,1,5,4,4,4,3,4,4,1,7,12,13,15,9,19
4,5,5,5,5,5,4,5,4,5,2,1,4,1,4,4,4,4,4,4,4,5,7,2,2,20,13,13,12,21
4,5,5,5,5,4,3,4,4,3,3,3,4,4,3,4,4,3,3,4,4,3,4,2,4,19,11,17,11,17
4,4,3,3,4,4,5,4,4,5,5,3,3,4,5,4,3,4,3,4,4,4,1,2,1,14,13,20,12,19
